"CÓD...DEP.","DEPARTAMENTO","CÓD..MUN.","MUNICIPIO","GRUPO..DE.CULTIVO","SUBGRUPO..DE.CULTIVO","CULTIVO","DESAGREGACIÓN.REGIONAL.Y.O.SISTEMA.PRODUCTIVO","AÑO","PERIODO","Área.Sembrada..ha.","Área.Cosechada..ha.","Producción..t.","Rendimiento..t.ha.","ESTADO.FISICO.PRODUCCION","NOMBRE..CIENTIFICO","CICLO.DE.CULTIVO"
5,"ANTIOQUIA",5045,"APARTADO","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"1,830 ","1,640 ","656 ",0.4,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5837,"TURBO","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"1,002 ","760 ","304 ",0.4,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5425,"MACEO","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"950 ","798 ","279 ",0.35,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5885,"YALI","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"580 ","269 ","188 ",0.7,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5490,"NECOCLI","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"523 ","151 ","60 ",0.4,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5858,"VEGACHI","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"520 ","460 ","230 ",0.5,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5604,"REMEDIOS","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"405 ","160 ","40 ",0.25,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5234,"DABEIBA","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"315 ","273 ","137 ",0.5,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5483,"NARIÑO","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"311 ","276 ","110 ",0.4,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5659,"SAN JUAN DE URABA","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"307 ","0 ","0 ",NA,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5120,"CACERES","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"306 ","65 ","25 ",0.38,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5040,"ANORI","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"290 ","15 ","5 ",0.3,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5051,"ARBOLETES","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"257 ","0 ","0 ",NA,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5585,"PUERTO NARE","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"235 ","35 ","18 ",0.5,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5893,"YONDO","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"233 ","233 ","70 ",0.3,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5789,"TAMESIS","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"214 ","130 ","59 ",0.45,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5142,"CARACOLI","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"185 ","185 ","65 ",0.35,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5579,"PUERTO BERRIO","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"178 ","56 ","17 ",0.3,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5172,"CHIGORODO","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"177 ","97 ","50 ",0.52,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5055,"ARGELIA","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"170 ","170 ","46 ",0.27,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5031,"AMALFI","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"169 ","95 ","48 ",0.5,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5854,"VALDIVIA","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"160 ","70 ","46 ",0.65,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5147,"CAREPA","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"143 ","48 ","19 ",0.4,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5665,"SAN PEDRO DE URABA","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"143 ","118 ","35 ",0.3,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5240,"EBEJICO","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"124 ","80 ","24 ",0.3,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5790,"TARAZA","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"123 ","35 ","18 ",0.5,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5842,"URAMITA","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"123 ","70 ","28 ",0.4,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5647,"SAN ANDRES","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"117 ","112 ","33 ",0.29,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5250,"EL BAGRE","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"111 ","25 ","13 ",0.5,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5284,"FRONTINO","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"86 ","86 ","43 ",0.5,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5591,"PUERTO TRIUNFO","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"81 ","0 ","0 ",NA,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5361,"ITUANGO","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"76 ","66 ","33 ",0.5,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5138,"CAÑASGORDAS","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"67 ","53 ","21 ",0.4,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5282,"FREDONIA","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"67 ","67 ","33 ",0.49,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5670,"SAN ROQUE","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"63 ","19 ","5 ",0.25,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5059,"ARMENIA","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"49 ","49 ","25 ",0.5,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5736,"SEGOVIA","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"47 ","35 ","14 ",0.4,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5895,"ZARAGOZA","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"47 ","0 ","0 ",NA,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5107,"BRICEÑO","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"42 ","32 ","16 ",0.5,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5856,"VALPARAISO","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"40 ","35 ","18 ",0.5,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5628,"SABANALARGA","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"38 ","6 ","2 ",0.25,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5649,"SAN CARLOS","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"35 ","35 ","12 ",0.34,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5679,"SANTA BARBARA","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"35 ","35 ","18 ",0.5,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
5,"ANTIOQUIA",5690,"SANTO DOMINGO","OTROS PERMANENTES","CACAO","CACAO","CACAO",2007,2007,"32 ","14 ","8 ",0.6,"GRANO SECO","THEOBROMA CACAO ","PERMANENTE"
