"CÓD...DEP.","DEPARTAMENTO","CÓD..MUN.","MUNICIPIO","GRUPO..DE.CULTIVO","SUBGRUPO..DE.CULTIVO","CULTIVO","DESAGREGACIÓN.REGIONAL.Y.O.SISTEMA.PRODUCTIVO","AÑO","PERIODO","Área.Sembrada..ha.","Área.Cosechada..ha.","Producción..t.","Rendimiento..t.ha.","ESTADO.FISICO.PRODUCCION","NOMBRE..CIENTIFICO","CICLO.DE.CULTIVO"
5,"ANTIOQUIA",5101,"CIUDAD BOLIVAR","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"9,680 ","8,510 ","9,935 ",1.17,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5034,"ANDES","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"8,696 ","8,484 ","13,574 ",1.6,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5642,"SALGAR","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"6,011 ","4,200 ","4,720 ",1.12,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5209,"CONCORDIA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"5,578 ","5,012 ","6,182 ",1.23,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5091,"BETANIA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"5,439 ","5,439 ","5,482 ",1.01,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5093,"BETULIA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"4,845 ","4,532 ","4,826 ",1.06,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5002,"ABEJORRAL","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"4,067 ","3,819 ","2,329 ",0.61,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5756,"SONSON","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"3,660 ","3,000 ","3,600 ",1.2,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5361,"ITUANGO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"3,067 ","2,873 ","3,110 ",1.08,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5483,"NARIÑO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"2,973 ","2,653 ","2,643 ",1,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5789,"TAMESIS","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"2,657 ","1,519 ","1,702 ",1.12,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5138,"CAÑASGORDAS","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"2,545 ","2,447 ","1,175 ",0.48,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5282,"FREDONIA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"2,497 ","2,197 ","2,856 ",1.3,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5364,"JARDIN","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"2,348 ","2,348 ","3,170 ",1.35,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5240,"EBEJICO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"2,015 ","1,200 ","1,344 ",1.12,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5234,"DABEIBA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"2,000 ","1,864 ","1,864 ",1,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5368,"JERICO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"2,000 ","1,810 ","2,244 ",1.24,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5055,"ARGELIA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,800 ","1,800 ","1,800 ",1,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5890,"YOLOMBO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,800 ","1,700 ","1,360 ",0.8,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5649,"SAN CARLOS","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,627 ","1,627 ","1,464 ",0.9,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5576,"PUEBLO RICO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,623 ","1,430 ","1,287 ",0.9,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5031,"AMALFI","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,552 ","1,432 ","1,439 ",1.01,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5042,"SANTAFE DE ANTIOQUIA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,524 ","1,407 ","1,896 ",1.35,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5197,"COCORNA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,510 ","1,473 ","1,473 ",1,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5467,"MONTEBELLO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,510 ","1,450 ","1,450 ",1,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5679,"SANTA BARBARA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,400 ","1,317 ","1,377 ",1.05,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5690,"SANTO DOMINGO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,334 ","1,249 ","1,499 ",1.2,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5125,"CAICEDO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,299 ","1,195 ","1,193 ",1,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5347,"HELICONIA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,264 ","960 ","864 ",0.9,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5284,"FRONTINO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,260 ","1,260 ","1,260 ",1,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5667,"SAN RAFAEL","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,260 ","1,260 ","1,260 ",1,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5411,"LIBORINA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,250 ","1,250 ","1,375 ",1.1,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5038,"ANGOSTURA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,240 ","1,180 ","1,180 ",1,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5543,"PEQUE","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,233 ","909 ","1,045 ",1.15,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5842,"URAMITA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,206 ","1,176 ","729 ",0.62,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5044,"ANZA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,200 ","1,140 ","1,311 ",1.15,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5670,"SAN ROQUE","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,151 ","1,072 ","1,093 ",1.02,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5847,"URRAO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,145 ","1,030 ","1,030 ",1,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5079,"BARBOSA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,131 ","711 ","924 ",1.3,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5628,"SABANALARGA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,105 ","1,096 ","1,057 ",0.97,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5145,"CARAMANTA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,089 ","1,039 ","962 ",0.93,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5001,"MEDELLIN","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,078 ","1,027 ","822 ",0.8,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5792,"TARSO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,041 ","951 ","1,142 ",1.2,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5761,"SOPETRAN","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"1,038 ","978 ","1,174 ",1.2,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5313,"GRANADA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"926 ","853 ","640 ",0.75,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5113,"BURITICA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"906 ","856 ","719 ",0.84,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5030,"AMAGA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"832 ","785 ","570 ",0.73,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5059,"ARMENIA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"788 ","769 ","865 ",1.13,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5353,"HISPANIA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"769 ","448 ","433 ",0.97,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5310,"GOMEZ PLATA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"755 ","691 ","777 ",1.12,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5647,"SAN ANDRES","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"739 ","626 ","508 ",0.81,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5021,"ALEJANDRIA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"739 ","733 ","733 ",1,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5856,"VALPARAISO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"721 ","660 ","734 ",1.11,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5861,"VENECIA","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"711 ","653 ","586 ",0.9,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5306,"GIRALDO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"659 ","582 ","698 ",1.2,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5656,"SAN JERONIMO","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"657 ","622 ","529 ",0.85,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5315,"GUADALUPE","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"622 ","577 ","519 ",0.9,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5809,"TITIRIBI","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"613 ","569 ","780 ",1.37,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5686,"SANTA ROSA DE OSOS","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"610 ","610 ","620 ",1.02,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
5,"ANTIOQUIA",5036,"ANGELOPOLIS","OTROS PERMANENTES","CAFE","CAFE","CAFE",2007,2007,"600 ","600 ","480 ",0.8,"CAFE VERDE EQUIVALENTE","COFFEA ARABICA ","PERMANENTE"
